Date,Tested,Positive,Recovered,Dead
20200103,11,3,0,0
20200203,51,0,0,0
20200303,78,2,0,0
20200403,67,0,0,0
20200503,76,3,0,0
20200603,111,11,0,0
20200703,193,7,0,0
20200803,141,6,0,0
20200903,265,6,0,0
20201003,165,25,0,0
20201103,458,31,0,0
20201203,537,22,0,0
20201303,741,25,0,0
20201403,971,48,0,0
20201503,1003,109,0,0
20201603,1234,85,1,0
20201703,1362,67,1,0
20201803,1738,110,1,0
20201903,2217,205,1,0
20202003,2085,124,2,0
20202103,1880,158,0,1
20202203,1771,114,0,0
20202303,2469,126,0,2
20202403,2976,185,4,3
20202503,4098,291,0,3
20202603,4429,259,0,0
20202703,5247,400,1,0
20202803,4326,261,0,4
20202903,2798,164,0,4
20203003,2313,184,17,7
20203103,3000,277,17,7
20200104,6206,281,16,8
20200204,5973,269,6,5
20200304,6291,332,5,9
20200404,6889,172,6,6
